bike_name,price,city,kms_driven,owner,age,power,brand
Royal Enfield Classic 350cc,123600.0,Jaipur,7702.0,First Owner,3.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,115000.0,Jaipur,25000.0,First Owner,6.0,350.0,Royal Enfield
Royal Enfield Himalayan 410cc,120000.0,Jaipur,14290.0,First Owner,5.0,410.0,Royal Enfield
Royal Enfield Classic 350cc Dual Disc,120000.0,Jaipur,21000.0,First Owner,4.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,121000.0,Jaipur,20000.0,First Owner,4.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,90000.0,Jaipur,15437.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Electra 350cc,90000.0,Jaipur,14330.0,First Owner,3.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,120000.0,Jaipur,2069.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Classic Chrome 500cc,175000.0,Jaipur,7000.0,First Owner,5.0,500.0,Royal Enfield
Royal Enfield Classic Chrome 500cc,160000.0,Jaipur,14000.0,First Owner,4.0,500.0,Royal Enfield
Royal Enfield Thunderbird 350cc,135000.0,Jaipur,13500.0,First Owner,3.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,132000.0,Jaipur,3467.0,First Owner,6.0,350.0,Royal Enfield
Royal Enfield Thunderbird 350cc,105000.0,Jaipur,1543.0,First Owner,5.0,350.0,Royal Enfield
Royal Enfield Thunderbird 350cc,55000.0,Jaipur,4779.0,First Owner,11.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,114000.0,Jaipur,38000.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Thunderbird 350cc,128000.0,Jaipur,8500.0,First Owner,5.0,350.0,Royal Enfield
Royal Enfield Classic 350cc,100000.0,Jaipur,22600.0,First Owner,8.0,350.0,Royal Enfield
Royal Enfield Thunderbird 350cc,90000.0,Jaipur,9902.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Classic Squadron Blue 500cc,160000.0,Jaipur,8000.0,First Owner,5.0,500.0,Royal Enfield
Royal Enfield Bullet Twinspark 350cc,90000.0,Jaipur,34548.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Thunderbird 500cc,120000.0,Jaipur,32814.0,Second Owner,8.0,500.0,Royal Enfield
Royal Enfield Classic 350cc,90000.0,Jaipur,17000.0,First Owner,7.0,350.0,Royal Enfield
Royal Enfield Bullet Electra 350cc,83800.0,Jaipur,21540.0,Second Owner,10.0,350.0,Royal Enfield
